collection_name,dataset_name,Seed,affiliation_f1,affiliation_f1_gt_contamination,roc_vus,pr_vus,fbeta,fbeta_05,fbeta_2,Time fit (s),Time predict (s),Peak memory fit (KiB),Peak memory predict (KiB)
KDD-TSAD,012_UCR_Anomaly_DISTORTEDECG2,0.0,0.6580481498959023,0.885736638676593,0.9964090636111638,0.5610339703458374,0.06451612903225806,0.04132231404958678,0.14705882352941177,1.87421,4.56717,24841.49414,49014.16016
KDD-TSAD,013_UCR_Anomaly_DISTORTEDECG3,0.0,0.7076136219075114,0.9994868383907348,0.9997093321905749,0.9538944813429558,0.06451612903225806,0.04132231404958678,0.14705882352941177,2.18591,4.65542,24841.49414,49014.16016
KDD-TSAD,014_UCR_Anomaly_DISTORTEDECG3,0.0,0.6990768070834978,0.9991466324537831,0.9993353584607786,0.9036987147149341,0.06451612903225806,0.04132231404958678,0.14705882352941177,0.56664,2.74431,13152.04102,49014.16016
KDD-TSAD,016_UCR_Anomaly_DISTORTEDECG4,0.0,0.7186582883006678,0.9997124374820262,0.9999330629942907,0.9932041322986414,0.125,0.08196721311475409,0.2631578947368421,0.2882,2.16637,8142.27539,49014.16016
KDD-TSAD,017_UCR_Anomaly_DISTORTEDECG4,0.0,0.7266790201438531,0.999350282366438,0.9998206831941798,0.9660020217512205,0.06451612903225806,0.04132231404958678,0.14705882352941177,0.31172,2.2537,8142.27539,49014.16016
KDD-TSAD,018_UCR_Anomaly_DISTORTEDECG4,0.0,0.7456577283769475,0.9995329673338925,0.9996988442967356,0.9536786355934262,0.06451612903225806,0.04132231404958678,0.14705882352941177,0.76876,3.68704,13152.04102,49014.16016
KDD-TSAD,019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,0.0,0.6862347140215797,0.9993750659430811,0.9998074259402534,0.9742299091170444,0.0707395498392283,0.04541701073492981,0.15988372093023256,0.35993,0.96744,8142.27539,19482.91016
KDD-TSAD,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,0.0,0.8724883135664809,0.9965195734551165,0.9992564885807388,0.9617565347802048,0.30148619957537154,0.21244763614602033,0.5190058479532164,0.27559,0.97327,8142.27539,19482.91016
KDD-TSAD,021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,0.0,0.6805282367759092,0.9994524781616607,0.9998859852190712,0.9844182030229769,0.07228915662650602,0.04643962848297214,0.16304347826086957,0.37677,1.0386,8142.27539,19482.91016
KDD-TSAD,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,0.0,0.8152868230708823,0.9995676559243648,0.9999142418136923,0.9940390606529578,0.17905918057663125,0.11996746644977632,0.35287081339712917,0.6833,0.94925,6472.35352,19482.91016
KDD-TSAD,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,0.0,0.8255572924348884,1.0,0.9999221769870614,0.9943867384629567,0.15950920245398773,0.10603588907014681,0.3217821782178218,0.32226,0.72541,8142.27539,19482.91016
KDD-TSAD,024_UCR_Anomaly_DISTORTEDInternalBleeding10,0.0,0.778655677008822,0.4667292567772018,0.964171665337274,0.12222068366700803,0.07682458386683738,0.049439683586025046,0.1722158438576349,0.61507,0.60992,5136.41602,12108.89453
KDD-TSAD,025_UCR_Anomaly_DISTORTEDInternalBleeding14,0.0,0.9040730170402925,0.9994667462126412,0.9998153341546481,0.9803843966913318,0.06940874035989716,0.044539755856153086,0.15715948777648428,0.50998,0.67446,4468.44727,12108.89453
KDD-TSAD,026_UCR_Anomaly_DISTORTEDInternalBleeding15,0.0,0.8995558784642552,0.9989265366900776,0.9998633054580762,0.9952623555304455,0.3651987110633727,0.26446795270690726,0.5898681471200555,0.2513,0.42469,2635.39844,12272.17578
KDD-TSAD,027_UCR_Anomaly_DISTORTEDInternalBleeding16,0.0,0.7108207847257035,1.0,0.9963786125678208,0.8419603517884647,0.031454783748361734,0.01989389920424403,0.0750938673341677,0.21469,0.38616,1818.99219,12108.89453
KDD-TSAD,028_UCR_Anomaly_DISTORTEDInternalBleeding17,0.0,0.7770356649012496,0.9999321276873859,0.9980613514922385,0.9611827877910442,0.2578397212543554,0.17839922854387658,0.46482412060301503,0.81704,0.93891,2660.70215,12110.09766
KDD-TSAD,029_UCR_Anomaly_DISTORTEDInternalBleeding18,0.0,0.6844260612811187,0.6194965842234793,0.7039455196777554,0.035464755704484194,0.0,0.0,0.0,0.34355,0.52561,3633.48633,12107.26172
KDD-TSAD,030_UCR_Anomaly_DISTORTEDInternalBleeding19,0.0,0.7580769843238956,0.9999333288885924,0.999757164709386,0.9608299672503952,0.02631578947368421,0.01661129568106312,0.06329113924050633,0.40404,0.52853,4802.43164,12107.26172
KDD-TSAD,031_UCR_Anomaly_DISTORTEDInternalBleeding20,0.0,0.8774910718134317,0.9997924599916983,0.9998254027867263,0.9950751644333132,0.3516483516483517,0.25316455696202533,0.5755395683453237,0.37271,0.66387,4301.45508,12107.26172
