collection_name,dataset_name,Seed,affiliation_f1,affiliation_f1_gt_contamination,roc_vus,pr_vus,fbeta,fbeta_05,fbeta_2,Time fit (s),Time predict (s),Peak memory fit (KiB),Peak memory predict (KiB)
KDD-TSAD,009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,0.0,0.821378707982505,0.827809381292197,0.8961712306258168,0.0888098418792582,0.0507497116493656,0.03309265944645,0.1088031651829871,0.77384,0.33541,1426.81543,1981.38281
KDD-TSAD,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,0.0,0.7637522773127136,0.8207888710559533,0.7558160116383601,0.0267246580273536,0.0,0.0,0.0,0.76861,0.35231,1436.09863,1981.38281
KDD-TSAD,011_UCR_Anomaly_DISTORTEDECG1,0.0,0.6802267220490441,0.7323086144857363,0.6350988999117698,0.1200405909564111,0.0478787878787878,0.0321138211382113,0.094047619047619,0.91645,1.1441,2859.66211,7095.33594
KDD-TSAD,012_UCR_Anomaly_DISTORTEDECG2,0.0,0.6772392909639882,0.6690567832104781,0.623983352297774,0.0101557909949302,0.0109677419354838,0.0070247933884297,0.025,0.83064,1.19122,4067.99121,7095.33594
KDD-TSAD,013_UCR_Anomaly_DISTORTEDECG3,0.0,0.669293556573445,0.74300989963595,0.4204946033001737,0.0044561610609218,0.0,0.0,0.0,0.77288,0.96489,4061.19727,7095.33594
KDD-TSAD,014_UCR_Anomaly_DISTORTEDECG3,0.0,0.6681421395598194,0.6344830770104709,0.4320946030919553,0.0046880219704227,0.0,0.0,0.0,0.71378,1.01582,2377.19727,7095.33594
KDD-TSAD,016_UCR_Anomaly_DISTORTEDECG4,0.0,0.6665928726515944,0.6898641527053896,0.5894387057343319,0.0119013067239316,0.00625,0.0040983606557377,0.0131578947368421,0.8037,0.91469,1626.71094,7095.33594
KDD-TSAD,017_UCR_Anomaly_DISTORTEDECG4,0.0,0.679869402769249,0.6937560186809775,0.5882693650546807,0.0067608401863962,0.0058064516129032,0.0037190082644628,0.013235294117647,0.78747,1.03502,1625.52246,7095.33594
KDD-TSAD,018_UCR_Anomaly_DISTORTEDECG4,0.0,0.6719706339708553,0.6338999258624529,0.4197607619618446,0.004495200460189,0.0,0.0,0.0,0.81917,1.20762,2380.47949,7095.33594
KDD-TSAD,019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,0.0,0.6767982088799352,0.4739560887959855,0.4714040841657284,0.015287502995942,0.0,0.0,0.0,0.81627,0.458,1732.3584,2876.58594
KDD-TSAD,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,0.0,0.659014921446936,0.6661991773927363,0.5149718815091191,0.0231345532811698,0.0099079971691436,0.006981847197287,0.0170565302144249,0.8219,0.48123,1727.32324,2876.58594
KDD-TSAD,021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,0.0,0.6665221630691281,0.5455523234804279,0.7840577997238299,0.018913432612849,0.0224899598393574,0.0144478844169246,0.0507246376811594,0.81716,0.27744,1722.16699,2876.58594
KDD-TSAD,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,0.0,0.6512674187380558,0.5705757625217192,0.6160504524111468,0.0274603135092997,0.054628224582701,0.0366002440016266,0.1076555023923444,0.806,0.48537,1458.13184,2876.58594
KDD-TSAD,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,0.0,0.6745312697986319,0.689327466100828,0.8050689722589586,0.0449318827646692,0.058282208588957,0.0387438825448613,0.1175742574257426,0.82642,0.47084,1724.76855,2876.58594
KDD-TSAD,024_UCR_Anomaly_DISTORTEDInternalBleeding10,0.0,0.6441485524384668,0.31543548641913,0.5301775015442038,0.0176306335815051,0.0,0.0,0.0,0.58242,0.30844,1273.81152,1815.96875
KDD-TSAD,025_UCR_Anomaly_DISTORTEDInternalBleeding14,0.0,0.7076586146036703,0.8241918969442062,0.8048105827818095,0.0275544267537952,0.0308483290488431,0.0197954470471791,0.069848661233993,0.76029,0.31839,1160.90137,1815.96875
KDD-TSAD,026_UCR_Anomaly_DISTORTEDInternalBleeding15,0.0,0.6632754069803964,0.6868284093997218,0.4593220058398054,0.0268027406349467,0.0,0.0,0.0,0.75829,0.31127,890.30762,1840.1875
KDD-TSAD,027_UCR_Anomaly_DISTORTEDInternalBleeding16,0.0,0.6589193501265522,0.5896035098669502,0.9059928377455172,0.0602669727762326,0.0,0.0,0.0,0.73186,0.30876,768.89746,1815.96875
KDD-TSAD,028_UCR_Anomaly_DISTORTEDInternalBleeding17,0.0,0.6503209035522091,0.7673835374097379,0.6649616854548602,0.0370965100752143,0.0,0.0,0.0,0.35355,0.25811,976.7373,1818.0127
KDD-TSAD,029_UCR_Anomaly_DISTORTEDInternalBleeding18,0.0,0.6295966979846896,0.6291413024608584,0.5477249089912688,0.0232738887468363,0.0,0.0,0.0,0.73805,0.30673,1043.64746,1815.72656
KDD-TSAD,030_UCR_Anomaly_DISTORTEDInternalBleeding19,0.0,0.6747499548506933,0.0911321141185076,0.8835952596228837,0.0483350209899525,0.0236842105263157,0.0149501661129568,0.0569620253164556,0.7507,0.29634,1227.13379,1815.72656
KDD-TSAD,031_UCR_Anomaly_DISTORTEDInternalBleeding20,0.0,0.6780138533144988,0.591494519847009,0.6188731540005855,0.0398095912353941,0.0461538461538461,0.0332278481012658,0.0755395683453237,0.75812,0.29906,1154.50586,1815.72656
KDD-TSAD,032_UCR_Anomaly_DISTORTEDInternalBleeding4,0.0,0.668885414462801,0.6688295876052402,0.6540577784864036,0.1120821719087391,0.2016498625114574,0.1671732522796352,0.2540415704387991,0.63862,0.29384,721.26855,1772.375
KDD-TSAD,033_UCR_Anomaly_DISTORTEDInternalBleeding5,0.0,0.6560364351646188,0.5540302759605026,0.5465958527301626,0.0350032279614136,0.0328947368421052,0.0239005736137667,0.0527426160337552,0.66234,0.22343,1468.50977,1795.14062
KDD-TSAD,034_UCR_Anomaly_DISTORTEDInternalBleeding6,0.0,0.6617502799464594,0.7010851375465168,0.5358118197128787,0.0362487302249406,0.0651465798045602,0.0465983224603914,0.1082251082251082,0.74925,0.28823,854.79102,1853.02344
KDD-TSAD,035_UCR_Anomaly_DISTORTEDInternalBleeding8,0.0,0.6852621855974006,0.7284866419771456,0.5461995534750199,0.0312304966090358,0.0232558139534883,0.016061676839062,0.04212299915754,0.6482,0.2016,1093.78906,1815.96875
KDD-TSAD,036_UCR_Anomaly_DISTORTEDInternalBleeding9,0.0,0.6550211691258955,0.7092210746000087,0.5110815628849887,0.0202634900164984,0.0,0.0,0.0,0.67423,0.20078,1520.19824,1815.96875
KDD-TSAD,037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,0.0,0.6759099465599427,0.8357589654546341,0.8678471067055581,0.2521242600785791,0.0262209111766633,0.0165920026547204,0.0624804748516088,0.63383,0.98571,1675.89355,7095.57031
KDD-TSAD,038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,0.0,0.6699003564456663,0.7201649713624494,0.6326520524650405,0.0656770509016208,0.0097879282218597,0.0062240663900414,0.0229007633587786,0.70253,1.05002,1686.13965,7083.61719
KDD-TSAD,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,0.0,0.6583215045271484,0.9720817685173744,0.8729617008656136,0.334913216794335,0.0198347107438016,0.0124895920066611,0.0481540930979133,0.79973,0.9394,1672.38574,7083.61719
KDD-TSAD,040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,0.0,0.6796924447467294,0.7398990789278658,0.5701694476718946,0.0168770017796362,0.0229518648390181,0.0148050666227998,0.0510348738304508,0.8414,1.15435,1914.16309,7110.80469
KDD-TSAD,041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,0.0,0.6541795955968959,0.7190151633944759,0.6558460038723143,0.1181675671160178,0.0346932219723739,0.0223843475377217,0.0770767913217242,0.89088,0.97508,2168.4209,7054.55469
KDD-TSAD,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,0.0,0.6354179000319576,0.6150432787750212,0.3634597929353417,0.0069394699269019,0.0,0.0,0.0,0.79336,1.22316,2167.13965,7062.28906
KDD-TSAD,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,0.0,0.7386485980898356,0.669574598932843,0.6650482775505899,0.0222856072554883,0.0274076893795203,0.0179497407259672,0.0579336981010621,0.81201,0.72988,2886.15527,5845.41406
KDD-TSAD,044_UCR_Anomaly_DISTORTEDPowerDemand1,0.0,0.6009008125380378,0.6155024001050213,0.393530427522287,0.0094854625102264,0.0,0.0,0.0,0.7184,1.04987,2712.83105,7079.16406
KDD-TSAD,045_UCR_Anomaly_DISTORTEDPowerDemand2,0.0,0.5918052633839711,0.5556385063511992,0.3267113686786471,0.0080570289294285,0.0,0.0,0.0,1.07183,1.01535,3918.29199,7079.16406
KDD-TSAD,046_UCR_Anomaly_DISTORTEDPowerDemand3,0.0,0.6233433739647077,0.7238334572970456,0.378256115594217,0.0034791116363599,0.0,0.0,0.0,0.91046,0.92997,4413.24902,7079.16406
KDD-TSAD,047_UCR_Anomaly_DISTORTEDPowerDemand4,0.0,0.6113960641571852,0.4308505010017053,0.5214657006829405,0.0046050135674687,0.0032615786040443,0.0020750332005312,0.0076173065204143,0.83658,1.21681,4980.05273,7081.4502
KDD-TSAD,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,0.0,0.6698457298986055,0.5555333357734823,0.5094476700621876,0.0146468629579065,0.0,0.0,0.0,0.53646,0.45511,1332.59277,2720.49219
KDD-TSAD,049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,0.0,0.6395989684584488,0.9064130767484336,0.6249461917050912,0.0090535521722992,0.0,0.0,0.0,0.61119,0.45676,1331.43848,2737.36719
KDD-TSAD,050_UCR_Anomaly_DISTORTEDTkeepForthMARS,0.0,0.6774591973904324,0.6878925004359878,0.5847304380605016,0.0215030572589008,0.017915309446254,0.0119021856740965,0.0362080315997366,0.62314,0.42284,1331.47852,2714.39844
KDD-TSAD,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,0.0,0.6496962636950694,0.6484027218578378,0.7145566198493537,0.0116264705126234,0.0087032201914708,0.0054752518615856,0.0212044105173876,0.77265,0.47128,1331.89355,2733.14844
KDD-TSAD,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,0.0,0.6697800578136933,0.5197256793787255,0.6078336097173223,0.0237178816071131,0.0358014646053702,0.0237992211163998,0.072225869993434,0.74445,0.35154,1331.88086,2714.39844
KDD-TSAD,053_UCR_Anomaly_DISTORTEDWalkingAceleration1,0.0,0.4944508955456711,0.4811213036499298,0.4142925277808669,0.0338989789332289,0.0022222222222222,0.00171998624011,0.0031387319522912,0.73654,0.22208,770.16602,1618.10156
KDD-TSAD,054_UCR_Anomaly_DISTORTEDWalkingAceleration5,0.0,0.7895561361236242,0.9998402234821836,0.9141329532287228,0.672702496761726,0.1620879120879121,0.1078610603290676,0.3259668508287293,0.76244,0.2694,1059.44141,1618.10156
KDD-TSAD,055_UCR_Anomaly_DISTORTEDapneaecg2,0.0,0.6561420976856208,0.6822300494119212,0.7021122207706582,0.0430892921131484,0.0309922519370157,0.0199305644850199,0.0696472702763424,0.86844,1.4588,2811.31543,8786.99219
KDD-TSAD,056_UCR_Anomaly_DISTORTEDapneaecg3,0.0,0.6591048350085359,0.6085927396432963,0.5740132726172911,0.0052895744892895,0.0045708481462671,0.0029122443696608,0.0106182161396885,0.79795,1.30716,1582.9248,8759.35156
KDD-TSAD,057_UCR_Anomaly_DISTORTEDapneaecg4,0.0,0.6557303981000894,0.659628555055679,0.4013367908093879,0.0032925729957474,0.0,0.0,0.0,0.81684,1.50569,1833.04199,8734.42969
KDD-TSAD,058_UCR_Anomaly_DISTORTEDapneaecg,0.0,0.6541047262285319,0.6200634974359968,0.5044789990602135,0.0036152805201964,0.0040826741515692,0.0025853154084798,0.0097016735386854,0.90283,1.31346,2811.42871,8786.99219
KDD-TSAD,059_UCR_Anomaly_DISTORTEDgait1,0.0,0.6847143452435528,0.7073046847690401,0.5503047601950277,0.0068233124374132,0.0076470588235294,0.0049429657794676,0.0168831168831168,1.06257,2.23675,5343.55762,14790.67188
KDD-TSAD,060_UCR_Anomaly_DISTORTEDgait2,0.0,0.673050095687856,0.6788491392128547,0.6297746827481168,0.008068625401813,0.0061764705882352,0.0039923954372623,0.0136363636363636,1.20939,2.22421,5825.81934,14790.67188
KDD-TSAD,061_UCR_Anomaly_DISTORTEDgait3,0.0,0.6691010162636566,0.7393405118682677,0.5611945066192977,0.0184934732736874,0.0284507042253521,0.018984962406015,0.0567415730337078,1.10785,2.41887,6443.93652,14790.67188
KDD-TSAD,062_UCR_Anomaly_DISTORTEDgaitHunt1,0.0,0.6822059127997884,0.674355612500634,0.6684914084057312,0.0084129416569023,0.0061443932411674,0.0038895371450797,0.0146198830409356,1.0284,2.30126,4988.90527,14564.10938
KDD-TSAD,063_UCR_Anomaly_DISTORTEDgaitHunt2,0.0,0.6922289381669019,0.6986769522803666,0.5443180336375203,0.0137645376777502,0.0289361702127659,0.0194285714285714,0.0566666666666666,1.10637,2.12673,4995.03027,14564.10938
KDD-TSAD,064_UCR_Anomaly_DISTORTEDgaitHunt3,0.0,0.6790850791956008,0.6887070977989797,0.6411180703096758,0.0217290967700743,0.0319444444444444,0.021780303030303,0.0598958333333333,1.23069,2.50101,6184.54199,14564.10938
KDD-TSAD,065_UCR_Anomaly_DISTORTEDinsectEPG1,0.0,0.7366046257970439,0.8296026319713703,0.7711315932307047,0.0214672447212262,0.0543161978661493,0.0347050074367873,0.1248884924174844,0.74045,0.34392,1231.22949,2408.07031
KDD-TSAD,066_UCR_Anomaly_DISTORTEDinsectEPG2,0.0,0.7202999114621971,0.8168904635469282,0.8083170102674913,0.0282353120932711,0.0448780487804878,0.0285714285714285,0.1045454545454545,0.7641,0.41249,1501.69727,2409.65332
KDD-TSAD,067_UCR_Anomaly_DISTORTEDinsectEPG3,0.0,0.8074389236738777,0.8124239601094118,0.892851114241154,0.0437258160464262,0.0647619047619047,0.0419753086419753,0.1416666666666667,0.68771,0.42363,1796.94824,2407.36719
