collection_name,dataset_name,Seed,affiliation_f1,affiliation_f1_gt_contamination,roc_vus,pr_vus,fbeta,fbeta_05,fbeta_2,Time fit (s),Time predict (s),Peak memory fit (KiB),Peak memory predict (KiB)
IOPS,c02607e8-7399-3dde-9d28-8a8da5e5d251,0.0,0.5727867431075031,0.2748348274261738,0.6249441821922511,0.06543964125080684,0.09148936170212767,0.060106234274531725,0.1914514692787177,7.23739,3.56894,1905.35742,1234.05859
IOPS,e0747cad-8dc8-38a9-a9ab-855b61f5551d,0.0,0.568560670078449,0.3578867635180662,0.7238875999142912,0.1987358153134276,0.15678391959798996,0.10737885462555066,0.2903946388682055,7.41132,3.14474,1905.49414,1234.05859
KDD-TSAD,001_UCR_Anomaly_DISTORTED1sddb40,0.0,0.8199827683039476,0.8196159291857917,0.8310797553833272,0.24207231118881584,0.08022322985699339,0.05300516224188791,0.16489819328936048,227.09437,240.06249,9980.38867,11219.98047
KDD-TSAD,002_UCR_Anomaly_DISTORTED2sddb40,0.0,0.8297999370040198,0.8299942051284064,0.6323849214720706,0.038082406766053005,0.0,0.0,0.0,217.19093,237.96362,9980.38867,11248.94922
KDD-TSAD,003_UCR_Anomaly_DISTORTED3sddb40,0.0,0.7777042911450112,0.7781035440621883,0.9551601188804394,0.4821831084365755,0.07226303745634108,0.046422381777667734,0.16299032924046505,217.008,243.12555,9980.38867,11248.80859
KDD-TSAD,004_UCR_Anomaly_DISTORTEDBIDMC1,0.0,0.7345198619476213,0.7345198619476213,0.6187938986899174,0.5180231761346762,0.04597701149425288,0.029239766081871347,0.1075268817204301,0.99155,2.31631,718.16211,1545.68359
KDD-TSAD,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,0.0,0.851229238750174,0.8458577668482257,0.9268328976632029,0.036684358048011595,0.0024390243902439024,0.0015257857796765334,0.006075334143377886,2.21902,1.36775,930.27148,1149.68359
KDD-TSAD,006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,0.0,0.840096162344756,0.9325322127544899,0.7862967327980581,0.1448630152843386,0.056939501779359435,0.03636363636363637,0.13114754098360656,2.14921,2.01788,926.44336,1149.68359
KDD-TSAD,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,0.0,0.8241129702730766,0.7627725522957479,0.8727253126765643,0.04694653136383667,0.056939501779359435,0.03636363636363637,0.13114754098360656,2.10645,1.79495,922.06836,1149.68359
KDD-TSAD,008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,0.0,0.847194486233557,0.9582347212634134,0.839312549277066,0.3322559737411059,0.11072664359861592,0.07220216606498196,0.23738872403560832,1.8154,1.8795,986.51855,1151.88672
